100,89,78
101,38,18
102,100,88
103,78,49
104,83,53
105,100,85
106,100,91
107,67,53
108,66,36
109,97,91
110,100,88
111,92,67
112,96,90
113,64,33
114,88,70
115,4,0
116,55,63
117,34,17
118,73,51
119,80,69
120,94,63
121,56,52
122,87,67
123,56,24
124,61,40
125,53,35
126,97,85
127,97,78
128,95,84
129,69,68
130,92,76
131,40,0
132,97,79
133,0,0
134,97,86
135,97,81
136,69,36
137,89,72
138,49,60
139,3,0
140,90,80
141,17,0
142,65,49
143,57,40
144,45,23
145,89,56
146,95,71
147,100,93
148,81,82
149,91,56
150,43,0
151,93,69
152,5,0
153,92,79
154,57,45
155,92,85
156,94,90
157,86,0
158,95,80
159,69,51
160,100,90
161,66,25
162,100,94
163,38,15
164,97,71
165,73,46
166,58,43
167,95,74
168,96,79
169,96,80
170,100,75
171,95,77
172,50,35
173,98,78
174,66,64
175,36,46
176,100,91
177,48,73
178,80,58
179,83,66
180,21,0
181,58,26
182,68,35
183,56,26
184,97,86
185,89,70
186,53,46
187,89,86
188,27,0
189,11,0
190,48,36
191,97,69
192,77,69
193,93,74
194,84,62
195,43,28
196,94,81
197,94,80
198,99,64
199,71,57
200,95,74
201,75,90
202,24,0
203,82,77
204,49,0
205,19,13
206,88,55
207,9,0
208,94,80
209,93,72
210,70,38
211,71,0
212,79,79
213,64,22
214,92,82
215,64,59
216,26,0
217,97,89
218,80,70
219,12,0
220,72,40
221,98,74
222,78,50
223,100,75
224,92,54
225,95,56
226,83,77
227,78,46
228,100,97
229,100,83
230,62,22
231,63,55
232,90,73
233,89,74
234,69,57
235,97,78
236,64,77
237,81,71
238,92,82
239,67,42
240,81,52
241,98,92
242,40,26
243,94,78
244,98,88
245,98,88
246,97,88
247,25,0
248,71,67
249,50,39
250,71,30
251,83,50
252,100,77
253,84,62
254,77,52
255,81,67
256,100,92
257,99,81
258,90,70
259,42,26
260,87,49
261,83,59
262,66,44
