100,75,37
101,99,99
102,86,58
103,78,53
104,23,0
105,74,57
106,27,0
107,49,0
108,95,62
109,99,90
110,98,68
111,53,56
112,68,42
113,54,28
114,36,0
115,84,58
116,74,44
117,75,40
118,60,41
119,61,62
120,58,35
121,43,28
122,78,43
123,86,74
124,9,0
125,84,69
126,84,62
127,91,89
128,71,43
129,75,50
130,95,80
131,100,90
132,40,30
133,59,49
134,12,0
135,67,30
136,75,64
137,44,0
138,72,40
139,82,61
140,40,8
141,22,0
142,79,0
143,36,9
144,67,50
145,74,70
146,60,30
147,8,0
148,100,92
149,12,0
150,77,56
151,89,72
152,0,0
153,78,50
154,93,62
155,60,34
156,100,83
157,88,87
158,100,87
159,83,70
160,28,0
161,56,23
162,80,53
